epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.837,1.15524,1.6767,1.20598,0.69311,0.47007,0.497,0.30015,1.64202,1.82287,1.67408,0.00332389,0.00332389,0.00332389
2,428.916,1.13519,0.80906,1.13104,0.69957,0.50554,0.55901,0.34432,1.65737,1.65693,1.68937,0.0066023,0.0066023,0.0066023
3,563.765,1.19653,0.87328,1.15878,0.45356,0.32151,0.31097,0.18488,1.84652,2.31037,1.97024,0.00982571,0.00982571,0.00982571
4,684.48,1.23787,0.88562,1.19267,0.64534,0.48559,0.52012,0.30729,1.79192,1.82587,1.77373,0.0097525,0.0097525,0.0097525
5,759.239,1.21453,0.85809,1.19228,0.31692,0.21398,0.18954,0.11476,1.91473,3.40585,1.90408,0.00967,0.00967,0.00967
6,833.427,1.17621,0.78967,1.17279,0.63811,0.55211,0.60803,0.34355,1.76419,1.45121,1.75991,0.0095875,0.0095875,0.0095875
7,908.839,1.17772,0.77793,1.16548,0.62325,0.41907,0.46457,0.2842,1.82344,2.18748,1.8004,0.009505,0.009505,0.009505
8,981.452,1.16048,0.74602,1.15347,0.54003,0.2949,0.33535,0.20088,1.83697,2.75958,1.83548,0.0094225,0.0094225,0.0094225
9,1056.21,1.13836,0.7167,1.14555,0.80701,0.5285,0.66671,0.3961,1.61231,1.30682,1.67019,0.00934,0.00934,0.00934
10,1131.15,1.14335,0.71668,1.15393,0.68554,0.47007,0.56205,0.34835,1.58355,1.57654,1.63168,0.0092575,0.0092575,0.0092575
11,1206.01,1.12032,0.68006,1.14002,0.59266,0.50003,0.52743,0.31606,1.70839,1.62103,1.70851,0.009175,0.009175,0.009175
12,1281.4,1.1005,0.6698,1.12756,0.67599,0.54767,0.61439,0.37489,1.58265,1.5098,1.58806,0.0090925,0.0090925,0.0090925
13,1357.59,1.09397,0.6532,1.1217,0.71569,0.49676,0.61272,0.37968,1.58586,1.41828,1.60407,0.00901,0.00901,0.00901
14,1432.11,1.08597,0.63636,1.11823,0.7387,0.51663,0.61673,0.37086,1.64028,1.43326,1.65869,0.0089275,0.0089275,0.0089275
15,1505.64,1.07971,0.62689,1.11377,0.74847,0.61361,0.68786,0.41339,1.60202,1.24009,1.64536,0.008845,0.008845,0.008845
16,1578.75,1.05491,0.6108,1.10385,0.73128,0.58315,0.67738,0.41834,1.51903,1.23217,1.54022,0.0087625,0.0087625,0.0087625
17,1653.86,1.05546,0.60404,1.1067,0.71218,0.53219,0.62513,0.37924,1.58039,1.51168,1.60097,0.00868,0.00868,0.00868
18,1728.79,1.05576,0.60023,1.09964,0.62581,0.50998,0.57816,0.35272,1.6621,1.66272,1.67287,0.0085975,0.0085975,0.0085975
19,1804.69,1.03131,0.58502,1.08888,0.6719,0.40798,0.5152,0.3245,1.66017,2.28435,1.649,0.008515,0.008515,0.008515
20,1880.86,1.03175,0.58035,1.07672,0.744,0.58758,0.66757,0.39998,1.63149,1.35756,1.64517,0.0084325,0.0084325,0.0084325
21,1956.76,1.03094,0.57531,1.09073,0.75169,0.59645,0.69363,0.42356,1.56406,1.20909,1.60335,0.00835,0.00835,0.00835
22,2032.69,1.03969,0.5698,1.08805,0.76618,0.5898,0.71404,0.42239,1.5912,1.12263,1.65749,0.0082675,0.0082675,0.0082675
23,2108.75,1.02606,0.55977,1.08349,0.76762,0.62991,0.70969,0.42878,1.59591,1.14794,1.63235,0.008185,0.008185,0.008185
24,2183.81,1.00653,0.55629,1.07888,0.74814,0.56644,0.67442,0.39803,1.625,1.3298,1.68213,0.0081025,0.0081025,0.0081025
25,2258.22,0.99311,0.54464,1.06537,0.73763,0.64523,0.73614,0.43104,1.58107,1.17936,1.65597,0.00802,0.00802,0.00802
26,2332.94,1.01016,0.54504,1.07353,0.72684,0.63636,0.71246,0.42759,1.61329,1.17969,1.66962,0.0079375,0.0079375,0.0079375
27,2409.18,0.99138,0.53699,1.0654,0.75855,0.58514,0.69952,0.41726,1.56973,1.22623,1.56231,0.007855,0.007855,0.007855
28,2485.3,0.99724,0.5295,1.06161,0.75518,0.67027,0.7566,0.4642,1.51463,1.04968,1.58164,0.0077725,0.0077725,0.0077725
