epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.031,1.24824,1.32585,1.32393,0.39659,0.32373,0.27325,0.13154,2.06345,2.47598,2.42687,0.000664778,0.000664778,0.000664778
2,401.096,1.30004,1.09005,1.3696,0.58382,0.30377,0.30776,0.18263,2.03779,2.8703,2.26626,0.00131826,0.00131826,0.00131826
3,555.334,1.28678,1.00437,1.34984,0.55785,0.28255,0.31028,0.1704,2.19692,2.64467,2.33059,0.00195855,0.00195855,0.00195855
4,708.825,1.25144,0.93609,1.32647,0.61228,0.4447,0.46414,0.26832,1.86862,2.0326,1.98489,0.0019406,0.0019406,0.0019406
5,865.294,1.22156,0.8831,1.30904,0.68701,0.40883,0.46112,0.27479,1.86772,2.08019,2.09094,0.0019208,0.0019208,0.0019208
6,1020.46,1.18916,0.80939,1.29273,0.63349,0.48672,0.53284,0.3101,1.76079,1.86543,1.9647,0.001901,0.001901,0.001901
7,1183.61,1.16558,0.78085,1.26989,0.76922,0.36585,0.46825,0.28627,1.79942,2.1624,1.98556,0.0018812,0.0018812,0.0018812
8,1344.92,1.14058,0.75984,1.25846,0.67384,0.4612,0.53079,0.31964,1.64726,1.58529,1.84536,0.0018614,0.0018614,0.0018614
9,1506.55,1.12584,0.73826,1.25428,0.67715,0.4745,0.53291,0.3268,1.74077,1.74909,1.96987,0.0018416,0.0018416,0.0018416
10,1665.47,1.14335,0.735,1.26894,0.6405,0.4745,0.5562,0.32897,1.67956,1.67736,1.83102,0.0018218,0.0018218,0.0018218
11,1826.25,1.10868,0.68823,1.23551,0.779,0.49224,0.60178,0.35575,1.70789,1.63385,1.87119,0.001802,0.001802,0.001802
12,1982.28,1.09649,0.67387,1.23767,0.69311,0.47573,0.54986,0.32633,1.70091,1.7916,1.86955,0.0017822,0.0017822,0.0017822
13,2135.71,1.08223,0.6653,1.22384,0.73495,0.52106,0.61909,0.38834,1.58572,1.72659,1.79023,0.0017624,0.0017624,0.0017624
14,2289.23,1.07869,0.64955,1.2214,0.70075,0.50333,0.56287,0.32899,1.70449,1.57774,1.93989,0.0017426,0.0017426,0.0017426
15,2443.97,1.07112,0.64028,1.21541,0.77692,0.60232,0.69024,0.40497,1.58416,1.27757,1.75206,0.0017228,0.0017228,0.0017228
16,2599.09,1.04356,0.61967,1.20341,0.73377,0.57206,0.67125,0.41669,1.59033,1.39898,1.77588,0.001703,0.001703,0.001703
17,2751.45,1.05276,0.60675,1.20665,0.79373,0.55432,0.67776,0.40797,1.56357,1.30102,1.7571,0.0016832,0.0016832,0.0016832
18,2902.85,1.04807,0.59723,1.19855,0.75459,0.53215,0.64441,0.37628,1.65501,1.37954,1.87365,0.0016634,0.0016634,0.0016634
19,3054.81,1.0335,0.58924,1.18817,0.77639,0.5928,0.70013,0.42048,1.57292,1.2132,1.75248,0.0016436,0.0016436,0.0016436
20,3209.46,1.02095,0.59329,1.1758,0.74669,0.52106,0.62039,0.38545,1.65887,1.5194,1.81381,0.0016238,0.0016238,0.0016238
21,3363.72,1.03333,0.57582,1.18661,0.73627,0.58758,0.68121,0.42199,1.54582,1.50786,1.70562,0.001604,0.001604,0.001604
22,3514.25,1.03331,0.57574,1.18985,0.77472,0.52614,0.6339,0.38492,1.64968,1.49156,1.82846,0.0015842,0.0015842,0.0015842
23,3665.66,1.01157,0.56609,1.17842,0.69708,0.60089,0.66399,0.40511,1.58157,1.23409,1.77998,0.0015644,0.0015644,0.0015644
24,3818.99,1.0048,0.56998,1.17202,0.77831,0.57607,0.68387,0.41381,1.60037,1.2295,1.79104,0.0015446,0.0015446,0.0015446
25,3970.54,0.98973,0.55177,1.15846,0.81395,0.5388,0.68103,0.40131,1.62057,1.2546,1.82252,0.0015248,0.0015248,0.0015248
26,4121.94,0.99227,0.54544,1.17082,0.7141,0.56541,0.64408,0.3993,1.61905,1.54419,1.81123,0.001505,0.001505,0.001505
27,4272.33,0.98077,0.53586,1.15875,0.71975,0.59867,0.67654,0.40256,1.59541,1.34777,1.77292,0.0014852,0.0014852,0.0014852
28,4422.9,0.98167,0.52146,1.14948,0.78441,0.59202,0.71036,0.42602,1.53024,1.29177,1.7517,0.0014654,0.0014654,0.0014654
29,4574.64,0.98005,0.53522,1.16307,0.79568,0.56763,0.69674,0.4314,1.54823,1.23503,1.72425,0.0014456,0.0014456,0.0014456
30,4726.84,0.97006,0.51652,1.15409,0.80221,0.60532,0.71982,0.43586,1.54887,1.18757,1.74802,0.0014258,0.0014258,0.0014258
31,4878.48,0.95398,0.49972,1.1432,0.76207,0.58235,0.69121,0.41097,1.54896,1.25064,1.75797,0.001406,0.001406,0.001406
32,5030.42,0.94239,0.49054,1.1357,0.84454,0.57206,0.70684,0.41852,1.65246,1.30368,1.85991,0.0013862,0.0013862,0.0013862
33,5181.46,0.9486,0.49996,1.14043,0.78781,0.59273,0.70133,0.43108,1.57727,1.34061,1.7988,0.0013664,0.0013664,0.0013664
34,5333.85,0.93658,0.47541,1.13374,0.7563,0.66075,0.73534,0.44385,1.54513,1.16957,1.75323,0.0013466,0.0013466,0.0013466
35,5485.57,0.92668,0.47995,1.12465,0.83347,0.61419,0.75169,0.44059,1.57944,1.10578,1.77358,0.0013268,0.0013268,0.0013268
36,5636.66,0.90118,0.47285,1.11385,0.74084,0.60849,0.71082,0.43614,1.55986,1.25419,1.75505,0.001307,0.001307,0.001307
37,5787.66,0.90103,0.47248,1.10963,0.79238,0.62528,0.72942,0.44755,1.53413,1.17046,1.74681,0.0012872,0.0012872,0.0012872
38,5939.24,0.89927,0.45688,1.11162,0.7868,0.63636,0.73239,0.43512,1.57496,1.12179,1.78021,0.0012674,0.0012674,0.0012674
39,6089.81,0.89795,0.46255,1.11685,0.77819,0.59867,0.69117,0.41662,1.62335,1.34266,1.83815,0.0012476,0.0012476,0.0012476
40,6241.43,0.88073,0.44386,1.10649,0.79632,0.65854,0.74876,0.4375,1.60982,1.12292,1.81022,0.0012278,0.0012278,0.0012278
41,6392.2,0.8685,0.44337,1.09624,0.78568,0.5898,0.69231,0.41473,1.61918,1.26941,1.83985,0.001208,0.001208,0.001208
42,6544,0.86556,0.44292,1.0923,0.78936,0.64523,0.75158,0.44166,1.59751,1.08123,1.82063,0.0011882,0.0011882,0.0011882
43,6695.56,0.85101,0.43139,1.08659,0.75241,0.63636,0.73203,0.44205,1.59474,1.20128,1.79605,0.0011684,0.0011684,0.0011684
44,6850.39,0.85566,0.42954,1.0842,0.77706,0.64967,0.7189,0.43182,1.61177,1.11692,1.79803,0.0011486,0.0011486,0.0011486
45,7003.95,0.84965,0.42366,1.08237,0.73181,0.6958,0.75268,0.45841,1.54877,1.11063,1.78433,0.0011288,0.0011288,0.0011288
46,7157.93,0.83885,0.42625,1.07418,0.83001,0.60754,0.7401,0.44525,1.58378,1.12864,1.8404,0.001109,0.001109,0.001109
47,7308.56,0.83004,0.41294,1.07339,0.78394,0.65969,0.74581,0.44174,1.5869,1.13798,1.84038,0.0010892,0.0010892,0.0010892
48,7462.97,0.81974,0.41765,1.06416,0.82421,0.61197,0.72233,0.43832,1.59757,1.23875,1.83566,0.0010694,0.0010694,0.0010694
49,7615.27,0.81062,0.41266,1.063,0.85815,0.60089,0.73279,0.42924,1.62667,1.16221,1.83867,0.0010496,0.0010496,0.0010496
50,7766.17,0.8129,0.4077,1.06154,0.82716,0.62605,0.73403,0.43749,1.60623,1.15011,1.85249,0.0010298,0.0010298,0.0010298
51,7916.98,0.80167,0.40462,1.05635,0.76792,0.62306,0.72399,0.43591,1.62349,1.34643,1.88531,0.00101,0.00101,0.00101
52,8067.93,0.81111,0.40293,1.0575,0.76498,0.64956,0.73465,0.44365,1.61274,1.17174,1.82289,0.0009902,0.0009902,0.0009902
53,8218.93,0.78838,0.3923,1.04275,0.79856,0.65047,0.74942,0.44407,1.65272,1.27541,1.85988,0.0009704,0.0009704,0.0009704
54,8369.79,0.77882,0.38803,1.04182,0.77286,0.68655,0.77327,0.46349,1.55977,1.0905,1.78968,0.0009506,0.0009506,0.0009506
55,8521.82,0.78115,0.39658,1.04624,0.762,0.66733,0.74814,0.44587,1.61266,1.06708,1.8419,0.0009308,0.0009308,0.0009308
